timestamp,city,temperature (°C),humidity (%),wind_speed (km/h),weather
12/11/2024 13:36,Ballari,35.551700146901254,70,10.797988055519966,partly cloudy
12/11/2024 13:37,Ballari,32.79777845340599,62,17.024589474293244,cloudy
12/11/2024 13:38,Ballari,40.952744061660376,76,21.33663765346212,partly cloudy
12/11/2024 13:39,Ballari,34.99189830141104,69,18.504045346977406,cloudy
12/11/2024 13:40,Ballari,30.35387445951745,63,12.485599681842654,cloudy
12/11/2024 13:41,Ballari,31.584508844147383,70,11.68236777995557,cloudy
12/11/2024 13:42,Ballari,41.133727274072434,75,14.120584067442032,cloudy
12/11/2024 13:43,Ballari,37.03308685796956,64,13.026287853528576,cloudy
12/11/2024 13:44,Ballari,34.88967475066388,72,18.08362961221199,partly cloudy
12/11/2024 13:45,Ballari,42.52113993356432,62,14.433268710832923,partly cloudy
12/11/2024 13:46,Ballari,40.31034020809943,80,11.759486095544252,cloudy
12/11/2024 13:47,Ballari,31.860932324454843,72,14.09749057339897,partly cloudy
12/11/2024 13:48,Ballari,41.34185348611731,61,21.28084149047484,partly cloudy
12/11/2024 13:49,Ballari,40.66608031658719,63,20.53728320735977,partly cloudy
12/11/2024 13:50,Ballari,33.95979985410689,72,11.411014614754285,partly cloudy
12/11/2024 13:51,Ballari,42.377522967507694,69,16.42543353024986,cloudy
12/11/2024 13:52,Ballari,38.392753344024726,67,14.15268338317806,cloudy
12/11/2024 13:53,Ballari,30.139466680715746,73,17.08803317426035,cloudy
12/11/2024 13:54,Ballari,37.77798791127367,71,19.744442924529825,partly cloudy
12/11/2024 13:55,Ballari,38.5783558105228,75,15.299219307929596,partly cloudy
12/11/2024 13:56,Ballari,41.74135912137941,69,13.631415644542924,partly cloudy
12/11/2024 13:57,Ballari,33.43553569230282,78,14.91023946338322,cloudy
12/11/2024 13:58,Ballari,39.57081905981766,79,12.249766455970054,partly cloudy
12/11/2024 13:59,Ballari,29.976998176058338,72,15.588926620453504,cloudy
12/11/2024 14:00,Ballari,29.922586763519647,66,14.705035135501006,partly cloudy
12/11/2024 14:01,Ballari,36.20653631589907,67,12.187089116815685,cloudy
12/11/2024 14:02,Ballari,38.2359742006156,77,19.73661092994591,partly cloudy
12/11/2024 14:03,Ballari,36.64439032832465,61,17.52829863854562,cloudy
12/11/2024 14:04,Ballari,29.477400766284887,64,17.012118413562835,partly cloudy
12/11/2024 14:05,Ballari,31.10384846065225,68,13.798140325667449,cloudy
12/11/2024 14:06,Ballari,36.8806164114142,65,17.205497361986858,cloudy
12/11/2024 14:07,Ballari,38.6990495978192,75,20.029623461213536,cloudy
12/11/2024 14:08,Ballari,31.36387790461524,76,12.539087336307071,cloudy
12/11/2024 14:09,Ballari,33.97899545779481,68,11.734669542012576,partly cloudy
12/11/2024 14:10,Ballari,34.78081383704696,62,11.53444164812613,partly cloudy
12/11/2024 14:11,Ballari,35.05066649725866,65,19.60874300765089,partly cloudy
12/11/2024 14:12,Ballari,40.68991159571211,63,16.55451850101172,partly cloudy
12/11/2024 14:13,Ballari,34.98686502323349,65,20.833253649930302,cloudy
12/11/2024 14:14,Ballari,32.4832108654137,60,19.08564558712807,partly cloudy
12/11/2024 14:15,Ballari,32.67547160064439,61,13.541757344184113,cloudy
12/11/2024 14:16,Ballari,31.784925481854703,69,20.911472662108885,cloudy
12/11/2024 14:17,Ballari,35.178029353156255,69,13.33726251883234,cloudy
12/11/2024 14:18,Ballari,31.6489774417802,66,12.102497213700246,cloudy
12/11/2024 14:19,Ballari,40.68436271878634,76,14.904351885480857,cloudy
12/11/2024 14:20,Ballari,40.08930420263169,69,18.09003542502367,partly cloudy
12/11/2024 14:21,Ballari,35.051247449571775,78,12.192142209701068,partly cloudy
12/11/2024 14:22,Ballari,42.35118325062376,70,21.61699767723327,partly cloudy
12/11/2024 14:23,Ballari,30.10187487939845,64,21.22116541258923,partly cloudy
12/11/2024 14:24,Ballari,36.92809614219276,75,21.927243922408096,cloudy
12/11/2024 14:25,Ballari,38.37965673920319,68,12.41972847172083,cloudy
12/11/2024 14:26,Ballari,34.099301855030674,79,13.487723313647535,cloudy
12/11/2024 14:27,Ballari,33.89964616676006,75,20.80179548616799,cloudy
12/11/2024 14:28,Ballari,38.26522931060666,69,18.71490556263865,partly cloudy
12/11/2024 14:29,Ballari,35.983346292094154,61,17.754416685743205,partly cloudy
12/11/2024 14:30,Ballari,36.74367506781179,66,21.35262321457648,partly cloudy
12/11/2024 14:31,Ballari,41.911556368194624,65,18.266379050928325,cloudy
12/11/2024 14:32,Ballari,37.3758151777057,72,14.596139679075833,cloudy
12/11/2024 14:33,Ballari,36.18238127430537,67,18.067362631328898,partly cloudy
12/11/2024 14:34,Ballari,34.29398579294219,67,15.10397232097602,partly cloudy
12/11/2024 14:35,Ballari,40.018036021828856,65,17.79406154014854,cloudy
12/11/2024 14:36,Ballari,38.94361037473524,63,12.33612201369234,partly cloudy
12/11/2024 14:37,Ballari,35.489999879540576,63,10.703272833857996,cloudy
12/11/2024 14:38,Ballari,37.71495315969273,72,16.066982987653883,partly cloudy
12/11/2024 14:39,Ballari,38.84047910107407,66,21.68972563836526,partly cloudy
12/11/2024 14:40,Ballari,41.53939881932523,60,18.88747200028119,partly cloudy
12/11/2024 14:41,Ballari,38.22975082495242,71,19.860952255744227,cloudy
12/11/2024 14:42,Ballari,39.41469663170578,71,10.647067668952175,partly cloudy
12/11/2024 14:43,Ballari,32.87102779811391,73,17.716269246523026,cloudy
12/11/2024 14:44,Ballari,38.838354028642186,77,19.54928061488597,partly cloudy
12/11/2024 14:45,Ballari,37.92768590854198,70,16.50284723612354,partly cloudy
12/11/2024 14:46,Ballari,34.7426354187695,66,15.625535390289006,cloudy
